,Percentile,Clusters,Type,MCP_PercExtr,MCP,MCP_UpperLim,TotalPercSign,MeanCondProbSign,PercentSign,Area,Variables
0,P95,Clusters_12,MedExt_Z500,18.958611481975968,12.924071082390952,11.571025399811854,47.66355140186916,10.501444957734023,99.88152536097742,MedExt,Z500
1,P97,Clusters_12,MedExt_Z500,20.22222222222222,8.126665300266447,7.25163161711385,46.44444444444444,6.68769391485718,99.77045538689374,MedExt,Z500
2,P99,Clusters_12,MedExt_Z500,22.666666666666664,2.9629629629629632,2.650429799426934,42.66666666666667,2.59531001040742,97.51943724546464,MedExt,Z500
0,P95,Clusters_4,MedExt_SLP~T850,39.11882510013351,8.33101916134407,7.723995880535531,42.05607476635514,8.164398778117189,96.34209552017772,MedExt,SLP~T850
1,P97,Clusters_4,MedExt_SLP~T850,40.44444444444444,5.151305151305151,4.7888774459320285,42.888888888888886,5.081921688419883,94.5279526101444,MedExt,SLP~T850
2,P99,Clusters_4,MedExt_SLP~T850,43.333333333333336,1.8328242154956955,1.6992790937178166,44.666666666666664,1.824901824901825,85.05738615327655,MedExt,SLP~T850
0,P95,Clusters_7,MedExt_SLP~T850,26.969292389853138,10.608272506082725,9.652996845425868,48.865153538050734,9.526326292819345,99.88893002591632,MedExt,SLP~T850
1,P97,Clusters_7,MedExt_SLP~T850,28.000000000000004,6.682297772567409,6.084840055632823,48.0,6.048921830197568,99.72602739726028,MedExt,SLP~T850
2,P99,Clusters_7,MedExt_SLP~T850,30.666666666666664,2.44926522043387,2.2253129346314324,44.66666666666667,2.2860492379835873,97.79340984820438,MedExt,SLP~T850
0,P95,Clusters_8,MedExt_SLP~T850,23.63150867823765,11.287758346581876,10.193798449612403,48.865153538050734,9.859671866629226,99.82228804146612,MedExt,SLP~T850
1,P97,Clusters_8,MedExt_SLP~T850,24.88888888888889,7.153806847215124,6.455862977602108,49.55555555555556,6.312867767292708,99.57052943354313,MedExt,SLP~T850
2,P99,Clusters_8,MedExt_SLP~T850,28.000000000000004,2.641232575201761,2.377486656962639,48.0,2.4067170359514587,98.04516845612736,MedExt,SLP~T850
0,P95,Clusters_9,MedExt_SLP~T850,20.694259012016023,11.720696320854943,10.529019003595275,50.86782376502002,9.844134079868631,99.88893002591632,MedExt,SLP~T850
1,P97,Clusters_9,MedExt_SLP~T850,21.777777777777775,7.410636442894507,6.666666666666667,50.22222222222222,6.303080642233189,99.90373935579416,MedExt,SLP~T850
2,P99,Clusters_9,MedExt_SLP~T850,24.0,2.7027027027027026,2.41397021058038,46.666666666666664,2.4143739472206627,98.85968159940762,MedExt,SLP~T850
0,P95,Clusters_10,MedExt_SLP~T850,19.225634178905207,12.178877259752618,10.842368640533778,48.33110814419226,10.025839513408284,99.94816734542762,MedExt,SLP~T850
1,P97,Clusters_10,MedExt_SLP~T850,20.444444444444446,7.7055779183438755,6.839032527105922,47.33333333333333,6.426551202486472,99.89633469085524,MedExt,SLP~T850
2,P99,Clusters_10,MedExt_SLP~T850,22.666666666666664,2.8177113283496262,2.5020850708924103,43.333333333333336,2.5005014036090074,98.94113291373566,MedExt,SLP~T850
0,P95,Clusters_11,MedExt_SLP~T850,18.424566088117487,13.025641025641024,11.594202898550725,49.79973297730307,10.32485424182917,100.0,MedExt,SLP~T850
1,P97,Clusters_11,MedExt_SLP~T850,19.555555555555557,8.201058201058201,7.336956521739131,49.33333333333333,6.604644607134574,99.98519067012218,MedExt,SLP~T850
